MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE
C000086N,006+0.749,NOT IN CITY LIMITS,GALLATIN,JULY,2017,20:40,SUN,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DAYLIGHT,FATAL ACCIDENT,ROLL OVER,45.70267062,-110.9289452
C000090W,315+0.261,,GALLATIN,March,2015,16:00,TUE,NON-JUNCTION,MEDIAN,CLEAR,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,FIXED OBJECT,45.63966261,-110.9146547
C000012E,000+0.128,NOT IN CITY LIMITS,GALLATIN,AUGUST,2017,19:30,FRI,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,WILD ANIMAL,44.67563552,-111.2736307
C000012E,000+0.147,NOT IN CITY LIMITS,GALLATIN,MAY,2017,22:18,WED,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SLUSH,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.67556621,-111.2731829
C000012E,000+0.172,BOZEMAN,GALLATIN,June,2014,2:00,MON,NON-JUNCTION,SHOULDER,CLOUDY,DRY,DARK-LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,FIXED OBJECT,44.67575667,-111.27276
C000012E,000+0.200,,GALLATIN,March,2013,12:30,WED,NON-JUNCTION,ON ROADWAY,SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,44.67614167,-111.27211
C000012E,000+0.340,WEST YELLOWSTONE,GALLATIN,OCTOBER,2017,11:06,SAT,NON-JUNCTION,ON ROADWAY,CLEAR,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),HEAD ON,44.6773437,-111.270294
C000012E,000+0.377,,GALLATIN,April,2015,22:08,THU,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,44.67774333,-111.26981
C000012E,000+0.415,,GALLATIN,November,2014,4:00,THU,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,SNOW,DARK-NOT LIGHTED,POSSIBLE INJURY ACCIDENT,FIXED OBJECT,44.67822682,-111.2693775
C000012E,000+0.546,NOT IN CITY LIMITS,GALLATIN,JUNE,2017,20:15,TUE,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,44.68010397,-111.2685597
