MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE,Ennis Distance,Virginia City Distance
C000029N,050+0.870,,MADISON,February,2013,7:30,SAT,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER,45.65680167,-112.307755,35.03513217,30.70734328
C000013N,000+0.112,,MADISON,March,2016,11:26,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS,44.71260384,-111.4701277,45.81697162,46.3081191
C000013N,000+0.620,,MADISON,November,2013,12:31,FRI,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,SLUSH,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.71999,-111.47138,45.30974553,45.83462899
C000013N,000+0.807,,MADISON,February,2015,11:55,TUE,NON-JUNCTION,ON ROADWAY,SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.722545,-111.4711883,45.14293792,45.68638747
C000013N,000+0.869,,MADISON,November,2016,21:00,THU,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.72346497,-111.4710312,45.08411218,45.63522663
C000013N,000+0.993,,MADISON,February,2015,21:30,MON,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,44.72528,-111.47076,44.96755731,45.53342956
C000013N,001+0.034,,MADISON,July,2014,10:30,MON,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER,44.7257907,-111.4708033,44.93311019,45.5018562
C000013N,001+0.252,,MADISON,March,2014,12:40,SUN,NON-JUNCTION,ROADSIDE RIGHT,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.72887667,-111.4703983,44.7342892,45.32771039
C000013N,003+0.055,,MADISON,March,2014,11:50,TUE,NON-JUNCTION,ROADSIDE LEFT,BLOWING SNOW,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.75479833,-111.4672317,43.06654093,43.87277343
C000013N,003+0.750,,MADISON,February,2013,23:00,MON,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,ICE/FROST,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER,44.76471333,-111.467185,42.41403571,43.29260008
