MDT_CORRIDOR_ID,SMS_REFPOST_OFFSET,CITY,COUNTY,Month,Year,SMS_TIME,SMT_CRASH_OCC_DAY_OF_WEEK,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE,LATITUDE,LONGITUDE
C000011N,000+0.023,,PARK,October,2016,13:00,SUN,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",45.03008244,-110.7055036
C000011N,000+0.124,,PARK,September,2015,12:15,TUE,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.03155796,-110.7055771
C000011N,000+0.217,,PARK,August,2015,2:15,SUN,NON-JUNCTION,SHOULDER,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT,45.03286949,-110.7054505
C000011N,000+0.241,NOT IN CITY LIMITS,PARK,MAY,2017,21:40,FRI,OTHER LOCATION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLOUDY,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE,45.03305253,-110.7060897
C000011N,000+0.248,,PARK,July,2014,0:00,SUN,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,INCAPACITATING INJURY ACCIDENT,ROLL OVER,45.03322333,-110.7058033
C000011N,000+0.279,,PARK,June,2014,12:30,SUN,NON-JUNCTION,OFF ROADWAY LOCATION UNKNOWN,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE,45.03356131,-110.7062605
C000011N,000+0.279,,PARK,July,2016,17:50,TUE,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO SIDE,45.03337853,-110.7063917
C000011N,000+0.303,GREAT FALLS,PARK,April,2015,7:46,FRI,INTERSECTION-RELATED,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.0338119,-110.7068036
C000011N,000+0.359,,PARK,June,2014,13:35,THU,NON-JUNCTION,ON ROADWAY,RAIN,WET,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION",45.03400514,-110.7077961
C000011N,000+0.508,,PARK,July,2016,20:30,MON,OTHER LOCATION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR TO REAR,45.03467621,-110.7107562
C000011N,000+0.521,NOT IN CITY LIMITS,PARK,FEBRUARY,2017,1:10,SAT,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-LIGHTED,INCAPACITATING INJURY ACCIDENT,NOT FIXED OBJECT OR DEBRIS,45.03480239,-110.7104243
C000011N,000+0.539,,PARK,August,2015,16:40,THU,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.03498204,-110.7112056
C000011N,000+0.595,,PARK,November,2014,9:20,WED,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL,45.03522496,-110.7122771
C000011N,000+0.663,,PARK,October,2015,10:00,THU,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER,45.03562071,-110.7135432
C000011N,000+0.663,,PARK,September,2015,19:00,THU,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),REAR-END,45.03564798,-110.713521
C000011N,000+0.719,,PARK,August,2016,14:40,WED,NON-JUNCTION,IN PARKING LANE OR ZONE,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, OPPOSITE DIRECTION",45.03590749,-110.7145728
