Month,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE
February,NON-JUNCTION,ROADSIDE RIGHT,SNOW,SNOW,DAYLIGHT,POSSIBLE INJURY ACCIDENT,ROLL OVER
SEPTEMBER,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
OCTOBER,INTERSECTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),"SIDESWIPE, SAME DIRECTION"
September,NON-JUNCTION,ROADSIDE RIGHT,RAIN,WET,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
FEBRUARY,NON-JUNCTION,ROADSIDE LEFT,SNOW,SNOW,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
AUGUST,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
May,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
September,NON-JUNCTION,ON ROADWAY,CLOUDY,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
NOVEMBER,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
March,INTERSECTION-RELATED,ON ROADWAY,CLOUDY,DRY,DAYLIGHT,POSSIBLE INJURY ACCIDENT,REAR-END
March,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
FEBRUARY,NON-JUNCTION,ROADSIDE RIGHT,CLOUDY,MUD DIRT GRAVEL,DARK-NOT LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
